itemId,itemName,category,price,description,available,preparationTime
M001,Phở Bò,FOOD,65000.0,Phở bò truyền thống Hà Nội,true,15
M002,Bún Chả,FOOD,70000.0,Bún chả Hà Nội chuẩn vị,true,20
M003,Cơm Tấm,FOOD,55000.0,Cơm tấm sườn bì chả,true,15
M004,Bánh Mì,FOOD,25000.0,Bánh mì thịt nguội,true,5
M005,Gỏi Cuốn,FOOD,30000.0,Gỏi cuốn tôm thịt,true,10
M006,Nem Rán,FOOD,35000.0,Nem rán Hà Nội,true,12
M007,Cà Phê Sữa,DRINK,25000.0,Cà phê sữa đá,true,5
M008,Trà Đá,DRINK,15000.0,Trà đá chanh,true,3
M009,Nước Cam,DRINK,30000.0,Nước cam tươi ép,true,5
M010,Chè Ba Màu,DESSERT,35000.0,Chè ba màu đặc biệt,true,8
M011,Bánh Flan,DESSERT,25000.0,Bánh flan caramel,true,5
M012,Lẩu Thái,FOOD,150000.0,Lẩu Thái hải sản,true,25
M013,Mì Xào,FOOD,60000.0,Mì xào bò,true,15
M014,Gà Nướng,FOOD,95000.0,Gà nướng mật ong,true,30
M015,Salad Rau,FOOD,40000.0,Salad rau tươi,true,8
M016,Khoai Tây Chiên,SNACK,35000.0,Khoai tây chiên giòn,true,7
M017,Phô Mai Que,SNACK,45000.0,Phô mai que chiên xù,true,8
M018,Ngô Chiên Bơ,SNACK,40000.0,Ngô chiên bơ tỏi ớt,true,10
M019,Xúc Xích Chiên,SNACK,35000.0,Xúc xích chiên ăn kèm,true,6
M020,Combo Bữa Trưa,COMBO,65000.0,1 Cơm tấm + 1 Trà đá,true,15
M021,Combo Ăn Vặt,COMBO,55000.0,1 Khoai tây chiên + 1 Nước cam,true,7
M022,Combo Nhóm,COMBO,195000.0,1 Lẩu Thái + 1 Nem rán,true,25
M023,Gỏi Bò Bóp Thầu,FOOD,85000.0,Gỏi bò tái chanh,false,0
M024,Gỏi Sứa Tôm Thịt,FOOD,90000.0,Gỏi sứa giòn,false,0
M025,Sụn Gà Rang Muối,SNACK,75000.0,Sụn gà giòn rang muối ớt,false,0
M026,Đậu Hũ Chiên Giòn,SNACK,45000.0,Đậu hũ non chiên giòn,false,0
M027,Vú Heo Nướng Sa Tế,FOOD,120000.0,Vú heo nướng sa tế cay,true,20
M028,Ba Chỉ Bò Nướng Tảng,FOOD,150000.0,Ba chỉ bò Mỹ nướng tảng,true,20
M029,Nghêu Hấp Sả,FOOD,70000.0,Nghêu hấp sả ớt,false,0
M030,Mực Xào Sa Tế,FOOD,110000.0,Mực ống xào sa tế hành tây,true,15
M031,Lẩu Ếch Măng Cay,FOOD,180000.0,Lẩu ếch nấu măng cay,true,25
M032,Lẩu Riêu Cua Bắp Bò,FOOD,220000.0,Lẩu riêu cua đồng,false,0
M033,Đùi Sụn Nướng,SNACK,65000.0,Đùi sụn nướng than hoa,true,12
M034,Tai Heo Ngâm Sả Tắc,FOOD,75000.0,Tai heo giòn ngâm mắm sa tắc,true,10
M035,Chân Gà Sốt Thái,FOOD,80000.0,Chân gà rút xương sốt Thái chua cay,true,10
M036,Ếch Rang Muối,FOOD,95000.0,Ếch rang muối lá lốt,true,15
M037,Tôm Nướng Muối Ớt,FOOD,130000.0,Tôm sú nướng muối ớt xanh,true,18
M038,Lạc Rang Hùng Liù,SNACK,30000.0,Lạc rang giòn,true,5
M039,Nem Chua Rán,SNACK,55000.0,Nem chua rán Hà Nội,true,10
M040,Bò Lúc Lắc,FOOD,125000.0,Bò lúc lắc khoai tây chiên,true,15
M041,Cá Kèo Nướng Muối Ớt,FOOD,90000.0,Cá kèo nướng mỡ ớt rau răm,true,15
M042,Sườn Non Nướng BBQ,FOOD,140000.0,Sườn non nướng sốt BBQ,true,25
M043,Combo Nhậu Bia,COMBO,249000.0,1 Sụn gà rang muối + 1 Đậu hũ chiên + 2 Bia SG,true,15
M044,Bia Tiger,DRINK,20000.0,Bia Tiger chai,true,2
M045,Bia Heineken,DRINK,25000.0,Bia Heineken chai,true,2
M046,Nước Suối,DRINK,10000.0,Nước suối Aquafina,true,1
M047,Sting Dâu,DRINK,15000.0,Nước tăng lực Sting dâu,true,2
M048,Cơm Chiên Hải Sản,FOOD,75000.0,Cơm chiên với tôm và mực,true,15
M049,Cá Chiên Xù,FOOD,110000.0,Cá diêu hồng chiên xù,true,20
M050,Bánh Tráng Trộn,SNACK,25000.0,Bánh tráng trộn đặc biệt,true,5
M051,Combo BBQ,COMBO,350000.0,1 Ba chỉ bò + 1 Vú heo + 1 Sườn non + rau,true,25
M052,Sườn non nướng,FOOD,100000.0,Ngon,true,29
M053,Bò hầm,FOOD,123123.0,Ngon,true,23
